frame x y z 
0 0 0 0
0 0 0.0333333 0.31155
1 0 0.0666667 0.612233
2 0 0.1 0.902048
3 0 0.132685 1.17863
4 0 0.166017 1.44776
5 0 0.199348 1.70601
6 0 0.230977 1.94932
7 0 0.264105 2.18606
8 0 0.297233 2.41194
9 0 0.328292 2.63037
10 0 0.361234 2.83602
11 0 0.394177 3.0308
12 0 0.424952 3.2283
13 0 0.457733 3.4041
14 0 0.490515 3.56904
15 0 0.521258 3.74705
16 0 0.553908 3.89412
17 0 0.586557 4.03033
18 0 0.617415 4.18831
19 0 0.649957 4.30758
20 0 0.6825 4.41599
21 0 0.71357 4.55245
22 0 0.746028 4.6447
23 0 0.778486 4.72607
24 0 0.809857 4.83922
25 0 0.842256 4.90508
26 0 0.874655 4.96006
27 0 0.906313 5.04788
28 0 0.93867 5.08785
29 0 0.971026 5.11695
30 0 1.00297 5.1776
31 0 1.0353 5.1921
32 0 1.06763 5.19573
33 0 1.09989 5.22747
34 0 1.1322 5.21684
35 0 1.16452 5.19533
36 0 1.19704 5.19668
37 0 1.22936 5.16118
38 0 1.26167 5.11482
39 0 1.29444 5.08439
40 0 1.32676 5.02425
41 0 1.35908 4.95326
42 0 1.3921 4.88958
43 0 1.42443 4.80497
44 0 1.45677 4.7095
45 0 1.49 4.61156
46 0 1.52236 4.50265
47 0 1.55471 4.38287
48 0 1.58813 4.24956
49 0 1.62051 4.11647
50 0 1.65289 3.9725
51 0 1.6865 3.80252
52 0 1.71892 3.64531
53 0 1.75133 3.47724
54 0 1.78509 3.26987
55 0 1.81754 3.08864
56 0 1.84998 2.89654
57 0 1.88388 2.65088
58 0 1.91636 2.4457
59 0 1.94884 2.22965
60 0 1.98287 1.94452
61 0 2.01539 1.71541
62 0 2.0479 1.47542
63 0 2.08204 1.24883
64 0 2.1146 0.998181
65 0 2.14715 0.736669
66 0 2.18138 0.616567
67 0 2.21397 0.34774
68 0 2.24656 0.0680464
69 0 2.28088 0.0420641
70 0 2.31351 0.242178
71 0 2.34615 0.474278
72 0 2.38052 0.720924
73 0 2.4132 0.915005
74 0 2.44587 1.09822
75 0 2.4803 1.31273
76 0 2.51301 1.46173
77 0 2.54573 1.59986
78 0 2.5802 1.7846
79 0 2.61295 1.89187
80 0 2.64571 1.98828
81 0 2.68021 2.14546
82 0 2.71301 2.21405
83 0 2.7458 2.27178
84 0 2.78033 2.40266
85 0 2.81315 2.4353
86 0 2.84598 2.45707
87 0 2.88053 2.562
88 0 2.91339 2.56108
89 0 2.94626 2.54929
90 0 2.98081 2.62874
91 0 3.01371 2.59642
92 0 3.04661 2.55324
93 0 3.08117 2.60701
94 0 3.1141 2.54522
95 0 3.14704 2.47256
96 0 3.18159 2.49984
97 0 3.21455 2.41025
98 0 3.24752 2.3098
