frame x y z 
298 31.7439 12.2498 0.585168
299 31.7426 12.2467 0.561477
300 31.7413 12.2436 0.52692
301 31.74 12.2405 0.481495
302 31.7387 12.2374 0.425203
303 31.7374 12.2344 0.358044
304 31.7362 12.2313 0.280018
305 31.7349 12.2282 0.191125
306 31.7336 12.2251 0.0913655
307 31.7323 12.222 -0.0192615
308 31.731 12.2189 -0.140755
309 31.7297 12.2159 -0.273116
310 31.7284 12.2128 -0.416345
311 31.7271 12.2097 -0.57044
312 31.7258 12.2066 -0.735402
313 31.7245 12.2035 -0.911231
314 31.7233 12.2005 -1.09793
315 31.722 12.1974 -1.29549
316 31.7207 12.1943 -1.50392
317 31.7194 12.1912 -1.72322
318 31.7181 12.1881 -1.95338
319 31.7168 12.185 -2.19441
320 31.7155 12.182 -2.44631
321 31.7142 12.1789 -2.70908
322 31.7129 12.1758 -2.98271
323 31.7116 12.1727 -3.26721
324 31.7104 12.1696 -3.56258
325 31.7091 12.1665 -3.86881
326 31.7078 12.1635 -4.18591
327 31.7065 12.1604 -4.51388
328 31.7052 12.1573 -4.85271
329 31.7039 12.1542 -5.20241
330 31.7026 12.1511 -5.56298
331 31.7013 12.148 -5.93442
332 31.7 12.145 -6.31672
333 31.6987 12.1419 -6.70989
334 31.6975 12.1388 -7.11393
335 31.6962 12.1357 -7.52883
336 31.6949 12.1326 -7.9546
337 31.6936 12.1295 -8.39124
338 31.6923 12.1265 -8.83874
339 31.691 12.1234 -9.29712
340 31.6897 12.1203 -9.76636
341 31.6884 12.1172 -10.2465
342 31.6871 12.1141 -10.7374
343 31.6858 12.111 -11.2393
344 31.6846 12.108 -11.752
345 31.6833 12.1049 -12.2756
346 31.682 12.1018 -12.81
347 31.6807 12.0987 -13.3553
348 31.6794 12.0956 -13.9115
349 31.6781 12.0925 -14.4785
350 31.6768 12.0895 -15.0564
351 31.6755 12.0864 -15.6452
352 31.6742 12.0833 -16.2449
353 31.6729 12.0802 -16.8554
354 31.6717 12.0771 -17.4767
355 31.6704 12.074 -18.109
356 31.6691 12.071 -18.7521
357 31.6678 12.0679 -19.4061
358 31.6665 12.0648 -20.0709
359 31.6652 12.0617 -20.7466
360 31.6639 12.0586 -21.4332
361 31.6626 12.0556 -22.1307
362 31.6613 12.0525 -22.839
363 31.66 12.0494 -23.5582
364 31.6588 12.0463 -24.2882
365 31.6575 12.0432 -25.0291
366 31.6562 12.0401 -25.7809
367 31.6549 12.0371 -26.5435
368 31.6536 12.034 -27.3171
369 31.6523 12.0309 -28.1014
370 31.651 12.0278 -28.8967
371 31.6497 12.0247 -29.7028
372 31.6484 12.0216 -30.5198
373 31.6471 12.0186 -31.3476
374 31.6459 12.0155 -32.1864
375 31.6446 12.0124 -33.0359
376 31.6433 12.0093 -33.8964
377 31.642 12.0062 -34.7677
378 31.6407 12.0031 -35.6499
379 31.6394 12.0001 -36.543
380 31.6381 11.997 -37.4469
381 31.6368 11.9939 -38.3617
382 31.6355 11.9908 -39.2873
383 31.6342 11.9877 -40.2238
384 31.633 11.9846 -41.1712
385 31.6317 11.9816 -42.1295
386 31.6304 11.9785 -43.0986
387 31.6291 11.9754 -44.0786
388 31.6278 11.9723 -45.0695
389 31.6265 11.9692 -46.0712
390 31.6252 11.9661 -47.0838
391 31.6239 11.9631 -48.1072
392 31.6226 11.96 -49.1416
393 31.6213 11.9569 -50.1867
394 31.6201 11.9538 -51.2428
395 31.6188 11.9507 -52.3097
396 31.6175 11.9476 -53.3875
397 31.6162 11.9446 -54.4762
398 31.6149 11.9415 -55.5757
399 31.6136 11.9384 -56.6861
400 31.6123 11.9353 -57.8074
401 31.611 11.9322 -58.9395
402 31.6097 11.9291 -60.0825
403 31.6084 11.9261 -61.2363
