frame x y z 
734 4.27171 14.4559 0.172485
741 4.44057 15.8573 2.39199
747 4.47121 16.6422 3.19031
751 4.47873 17.3825 3.43564
755 4.44053 17.8477 3.52694
759 4.45681 18.6055 3.38232
763 4.47145 19.1737 3.14133
768 4.46597 19.2374 3.44496
779 4.41845 19.352 3.33257
784 4.46429 19.4897 3.00919
803 4.44273 19.3114 2.3335
811 4.35835 19.0859 1.18279
816 4.29265 18.9803 0.172955
824 4.18701 18.7352 1.10006
842 4.0279 18.2801 0.952747
895 4.25894 16.7653 2.13274
899 4.4612 17.9587 3.23587
904 4.54867 18.6989 3.50048
909 4.61729 19.3577 3.50664
917 4.67361 19.433 3.14119
921 4.5104 19.1514 3.15289
925 4.38421 18.8941 2.95318
-1 0 0 0
930 4.30705 15.5267 1.60561
934 4.06671 18.3068 1.96147
938 3.92441 18.0255 1.24761
943 3.79423 17.754 0.178282
947 3.68531 17.5048 0.761227
953 3.52115 17.1166 1.41498
982 3.359 16.4168 0.279599
988 3.42879 16.2389 1.6287
1006 3.28648 16.7601 0.703587
1011 3.8212 17.6026 3.14117
-1 0 0 0
1015 3.16551 16.2694 0.208023
1019 3.20589 16.3486 0.253494
-1 0 0 0
1023 4.17896 19.0084 3.48665
1027 4.28556 19.3706 3.23076
1032 4.56302 19.6236 3.21831
1036 4.76211 19.6849 3.23429
-1 0 0 0
1041 3.52019 16.6468 0.0654295
-1 0 0 0
1045 5.17935 19.4936 2.66116
1050 5.42068 19.4589 1.98982
1054 5.57823 19.3551 1.29217
1058 5.7312 19.3056 0.404298
1062 5.88808 19.213 0.538151
1066 6.03664 19.1935 1.09557
1072 6.27118 19.1909 1.64413
1083 6.62631 19.1349 1.61796
1087 6.78993 19.1189 1.20648
1091 6.93636 19.0977 0.696979
1095 7.10289 19.0826 0.162901
-1 0 0 0
1189 5.4083 15.555 0.164105
1247 4.27367 14.9131 0.169836
-1 0 0 0
1258 4.5284 16.9796 3.21458
1263 4.11606 15.4764 1.2591
-1 0 0 0
1270 4.57534 18.8565 3.57874
1274 4.58647 19.4191 3.33307
1284 4.74627 19.2981 3.25556
1289 4.82751 19.0324 3.00439
1294 4.87304 18.8203 2.65392
1298 4.94207 18.5274 1.93545
1302 5.0311 18.3361 1.1584
1306 5.09796 18.1574 0.202577
1312 5.19467 17.8389 1.00439
1322 5.0326 16.5592 1.55972
1329 4.49301 16.167 0.336843
1337 4.50431 16.0295 0.269632
1392 4.48634 16.9561 2.91103
1397 4.43362 17.6172 3.36761
1401 4.40748 18.2838 3.54405
1406 4.38702 18.9735 3.52726
-1 0 0 0
1410 4.31631 15.6598 0.385168
-1 0 0 0
1422 4.09355 19.1615 3.3153
1429 3.8945 18.8027 2.8708
1433 3.76503 18.6032 2.37089
1438 3.64178 18.3728 1.47821
1442 3.50272 18.1556 0.653926
1446 3.42758 17.9583 0.456658
1450 3.32642 17.7758 1.06368
1455 3.17852 17.4964 1.57171
1461 3.02172 17.1879 1.84546
1465 2.93105 17.012 1.78884
1469 2.8236 16.7829 1.57592
1473 2.83345 16.4618 1.31001
1492 3.4523 16.1296 1.45285
